name,type,address,rating,reviews,query,scraped_at,link,image
Super Pound Store,Pound Shop, · 49 Chester Rd W,4.1,25,shops in shotton,2025-10-28 11:18:21.348466,https://www.google.com/maps/place/Super+Pound+Store/data=!4m7!3m6!1s0x487adafabd64dadb:0x8709953143310ce8!8m2!3d53.2129592!4d-3.0417136!16s%2Fg%2F11c6yfkgmd!19sChIJ29pkvfraekgR6AwxQzGVCYc?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwiXOxDBiIIiW9qB25dThXZGFBLrTnaWvd5VwFxnFe9bjnSDvnN7lbLq-YSEflHiYWB2Hp1UcQBzLMFnuzYUC8m_PYD6-e_B8Rkq1PophuiQBETZnc-H4B-AppgP38PONOJ_HwXzQ=w131-h92-k-no
Grosik in shotton Ltd,Supermarket, · 23-25 Chester Rd W,4.3,64,shops in shotton,2025-10-28 11:18:21.378435,https://www.google.com/maps/place/Grosik+in+shotton+Ltd/data=!4m7!3m6!1s0x487adafadabd6451:0xb08970f264947b6c!8m2!3d53.212388!4d-3.0400574!16s%2Fg%2F11b_3f6z5d!19sChIJUWS92vraekgRbHuUZPJwibA?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxEC0SgSaqoknaV2JiUKhviLjr2VwBTzB_HjFb8V5XcFih8UicLmQrHdRx7HWqIlPMUxdptG9bJqDXJuqiq8U8lyEHJEYfnmFo8gI30aeYfM9jKA2HMxHa7HlDtjU_2pLn8qxsGDQ=w122-h92-k-no
Shotton Food Centre,Convenience Store,Open ⋅ Closes 11 pm,0.0,0,shops in shotton,2025-10-28 11:18:21.398826,https://www.google.com/maps/place/Shotton+Food+Centre/data=!4m7!3m6!1s0x487adb001a0aff97:0xf7de6b7592621e57!8m2!3d53.2129693!4d-3.0410399!16s%2Fg%2F11vzd1fmm4!19sChIJl_8KGgDbekgRVx5iknVr3vc?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxAHJDeSXxP-tongq8zlDntjZwf8TTpy6aI6wA9rOfDDWodr727YGsPaef2aQOUY6C97cw7WCkJqQV0-2dIKIMli7HoRWAp2dWSEhtTE8bVvUwpcEHd_cSBf6l7O0PBa_Ml1WgG8fB1C-Sz=w122-h92-k-no
Baltic Store,Convenience Store,Open ⋅ Closes 10 pm,5.0,2,shops in shotton,2025-10-28 11:18:21.430731,https://www.google.com/maps/place/Baltic+Store/data=!4m7!3m6!1s0x487adafac1a60943:0x39752bd5b571c58!8m2!3d53.2128641!4d-3.0407657!16s%2Fg%2F11b_3d9mrq!19sChIJQwmmwfraekgRWBxXW71SlwM?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxwkZJQBDzbcfJVlePh8VV9iYvflwis__L41OY8atnWxHRclXlLqTk1iISFswfAVpsjjYcdU4uk0edxiY-uFbp2pabz5qIyd5Lfns5G7Tky8kQR0hdHsEQFlR__A4jKTO7ctOs=w125-h92-k-no
GOGO convenience Store,Convenience Store,Open ⋅ Closes 11 pm,5.0,2,shops in shotton,2025-10-28 11:18:21.455387,https://www.google.com/maps/place/GOGO+convenience+Store/data=!4m7!3m6!1s0x487adb1b8b00897b:0xf9afd9f883600475!8m2!3d53.2136685!4d-3.0427986!16s%2Fg%2F11wfs78b_3!19sChIJe4kAixvbekgRdQRgg_jZr_k?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipMSqzj88SQg8D1k3vN2mZWe2kclgKBlCSb_I3tr=w90-h92-k-no
Savers Health & Beauty,Discount shop," · 41, 43 Chester Rd W",4.6,114,shops in shotton,2025-10-28 11:18:21.481752,https://www.google.com/maps/place/Savers+Health+%26+Beauty/data=!4m7!3m6!1s0x487adafabf57511f:0xb46227546b2b7824!8m2!3d53.2127371!4d-3.0410321!16s%2Fg%2F11bxc6glbx!19sChIJH1FXv_raekgRJHgra1QnYrQ?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwMLuFAyF0KrsO4ghc4zH_rAjzhjvC2Atp-yn6a7oWpg5Hfwa8emShCZscTsP8lWTkoRyRLuA54Hvu8u0CbSvQWQd99gH2FEW4vF9a42DMPP1ix9M72o53ZHnRuyFpsKirkWu1REg=w122-h92-k-no
