name,type,address,rating,reviews,query,scraped_at,link,image
Sattar Khan Complex,Shopping Centre," · B-304, 2nd floor, Khandakar Haque Tower, AK Fazlul Haque Rd",4.1,4106,shops in kandirpar,2025-10-28 10:34:52.613127,https://www.google.com/maps/place/Sattar+Khan+Complex/data=!4m7!3m6!1s0x37547f255c6c1203:0x3efa22559732f40b!8m2!3d23.46101!4d91.1823458!16s%2Fg%2F12qglw5xt!19sChIJAxJsXCV_VDcRC_Qyl1Ui-j4?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyjbzOqVVAsIIxI-CKLNb61Om-X3CrEmgV59JviFbZkbo5-WXk4AEpBQk9yktGWX8xNkulxwU_fCDGCVGosZC8WwuDtZF0Iq3lyc7n6aG79GDV3SzwEfCZ99PBPcunOUN1tm8VKyg=w122-h92-k-no
NICK Cumilla Outlet,Clothing Shop,Open ⋅ Closes 9:30 pm,5.0,4,shops in kandirpar,2025-10-28 10:34:52.644617,https://www.google.com/maps/place/NICK+Cumilla+Outlet/data=!4m7!3m6!1s0x37547fb9abadf5e9:0x8e142ba9da1a2518!8m2!3d23.4611999!4d91.180288!16s%2Fg%2F11x6sv6m_w!19sChIJ6fWtq7l_VDcRGCUa2qkrFI4?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipM35J4FuWNVGt86XOwIq_NP2eCC_umi0Cob-DIM=w198-h92-k-no
Al-Amin Departmental Store,Shop,Open ⋅ Closes 11 pm,4.7,11,shops in kandirpar,2025-10-28 10:34:52.674833,https://www.google.com/maps/place/Al-Amin+Departmental+Store/data=!4m7!3m6!1s0x37547f256a90ec01:0x5f8c859019ee9e58!8m2!3d23.4599688!4d91.1824167!16s%2Fg%2F1hhxt_bws!19sChIJAeyQaiV_VDcRWJ7uGZCFjF8?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzYxOnTHntOeW4SmVCB4E6PVotioa4IE7LgExpPNq4qDWZajpcvpeWdfPc_RSusdXoeR6II3hJkFcc2lC9_Gc_2zEX176eSCZ8kUa402wNmaImPEbqeVEXvVC1ybkmGyp1PAEcTVA=w122-h92-k-no
Top Ten Mart Ltd. Cumilla,Shopping Centre," · House : 26/27 , Madhuri Noni Jashim Tower, Ramghatla, Laksham Rd",4.1,488,shops in kandirpar,2025-10-28 10:34:52.707427,https://www.google.com/maps/place/Top+Ten+Mart+Ltd.+Cumilla/data=!4m7!3m6!1s0x37547fa97f6f5a6f:0x2186ae457512ea9d!8m2!3d23.4596888!4d91.1809572!16s%2Fg%2F11fk1rf4zy!19sChIJb1pvf6l_VDcRneoSdUWuhiE?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxqupdTp66y8osz05gLRRG2jECbK1MK39XBK9KSE5w_sWdheZxwfm5D4HyYIRsKShZtbtcGaQIOp9uq4uQT5lNSQlUTQKUBj43Fy8wGhMgPL78e0VtpIG0AweksSSrBFgqahc79mA=w122-h92-k-no
Lead Fashion Ltd,Clothing Shop,Open ⋅ Closes 9:30 pm,5.0,2,shops in kandirpar,2025-10-28 10:34:52.745112,https://www.google.com/maps/place/Lead+Fashion+Ltd/data=!4m7!3m6!1s0x37547f006e24df0f:0xcb0402c1042d88bd!8m2!3d23.4611955!4d91.1803171!16s%2Fg%2F11xkxqwlwq!19sChIJD98kbgB_VDcRvYgtBMECBMs?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipPaxMMfV1oKf8nSEDSlJOvS7xI3xRLh7d7FLCq0=w80-h106-k-no
Matri Bhandar,Confectionery store,Open ⋅ Closes 9:30 pm,4.5,5874,shops in kandirpar,2025-10-28 10:34:52.774292,https://www.google.com/maps/place/Matri+Bhandar/data=!4m7!3m6!1s0x37547f300317d34b:0x26f09a9bca27a6b6!8m2!3d23.46187!4d91.1832934!16s%2Fg%2F11gm8y2hwp!19sChIJS9MXAzB_VDcRtqYnypua8CY?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwPt6TJhv4skiX6uBThIA7mSLLbicKhVqX4EcFuGIOiHBmXT1JJmCd1Or-dYHMRLoS0_MZHgrG4-i3LHjr5h80-BBrIG40Hoiq3v4ETB8jitrhEqai2b6gvauciE8gBpHqes2Jw=w122-h92-k-no
